timestamp,cycle,mode,episode_in_mode,total_reward,steps,v_out_mean
1768413281,2,test,1,2.0,203,-62.000423431396484
1768413304,2,test,2,2.0,197,-62.37786865234375
1768413327,2,test,3,2.0,198,-61.997501373291016
1768413351,2,test,4,2.0,204,-62.29470443725586
1768413380,2,test,5,3.0,248,-62.30778121948242
1768413403,2,test,6,2.0,198,-62.104949951171875
1768413432,2,test,7,3.0,253,-62.28317642211914
1768413455,2,test,8,2.0,199,-62.23942947387695
1768413479,2,test,9,2.0,200,-62.20442581176758
1768413502,2,test,10,2.0,202,-62.0974006652832
1768413532,2,test,11,3.0,253,-62.218814849853516
1768413555,2,test,12,2.0,204,-62.278682708740234
1768413578,2,test,13,2.0,198,-62.28965759277344
1768413602,2,test,14,2.0,203,-62.55329895019531
1768413625,2,test,15,2.0,201,-62.01218795776367
1768413648,2,test,16,2.0,199,-62.35806655883789
1768413677,2,test,17,3.0,247,-62.038612365722656
1768413700,2,test,18,2.0,202,-62.18820571899414
1768413729,2,test,19,3.0,245,-62.031253814697266
1768413744,2,test,20,0.0,129,-62.081321716308594
1768413767,2,test,21,2.0,200,-62.15058135986328
1768413790,2,test,22,2.0,199,-62.15116882324219
1768413813,2,test,23,2.0,200,-62.20118713378906
1768413836,2,test,24,2.0,198,-62.26660919189453
1768413859,2,test,25,2.0,200,-62.30453872680664
1768413883,2,test,26,2.0,201,-62.215946197509766
1768413906,2,test,27,2.0,201,-62.28154373168945
1768413929,2,test,28,2.0,198,-62.31586456298828
1768413958,2,test,29,3.0,247,-62.06513214111328
1768413981,2,test,30,2.0,197,-62.364898681640625
1768414009,2,test,31,3.0,248,-62.37542724609375
1768414038,2,test,32,3.0,249,-62.00844192504883
1768414061,2,test,33,2.0,198,-62.22480392456055
1768414090,2,test,34,3.0,247,-62.145263671875
1768414113,2,test,35,2.0,203,-62.27433395385742
1768414137,2,test,36,2.0,201,-62.0219841003418
1768414160,2,test,37,2.0,199,-62.051231384277344
1768414189,2,test,38,3.0,250,-61.971805572509766
1768414218,2,test,39,3.0,253,-62.05955123901367
1768414242,2,test,40,2.0,201,-62.00105285644531
1768414271,2,test,41,3.0,249,-62.19526672363281
1768414295,2,test,42,2.0,208,-62.22275161743164
1768414318,2,test,43,2.0,199,-62.26473617553711
1768414347,2,test,44,3.0,251,-61.97747039794922
1768414370,2,test,45,2.0,197,-62.30765914916992
1768414393,2,test,46,2.0,198,-62.39006805419922
1768414422,2,test,47,3.0,253,-62.33568572998047
1768414445,2,test,48,2.0,199,-62.10993194580078
1768414469,2,test,49,2.0,200,-62.164642333984375
1768414497,2,test,50,3.0,246,-62.12092590332031
1768414520,2,test,51,2.0,198,-62.12748718261719
1768414544,2,test,52,2.0,202,-62.11977767944336
1768414573,2,test,53,3.0,249,-62.20414733886719
1768414597,2,test,54,2.0,207,-62.11640167236328
1768414620,2,test,55,2.0,199,-62.03266906738281
1768414649,2,test,56,3.0,246,-62.152313232421875
1768414672,2,test,57,2.0,200,-62.22901153564453
1768414696,2,test,58,2.0,201,-62.25264358520508
1768414724,2,test,59,3.0,249,-62.23332977294922
1768414747,2,test,60,2.0,197,-62.260902404785156
1768414771,2,test,61,2.0,200,-62.2681884765625
1768414799,2,test,62,3.0,247,-62.36827850341797
1768414822,2,test,63,2.0,199,-62.005916595458984
1768414851,2,test,64,3.0,247,-62.13215637207031
1768414874,2,test,65,2.0,200,-62.06832504272461
1768414898,2,test,66,2.0,198,-62.3807373046875
1768414921,2,test,67,2.0,204,-62.28754425048828
1768414950,2,test,68,3.0,246,-62.26325607299805
1768414979,2,test,69,3.0,250,-62.13203430175781
1768415002,2,test,70,2.0,200,-62.38898849487305
1768415031,2,test,71,3.0,246,-61.99883270263672
1768415055,2,test,72,2.0,205,-62.17359924316406
1768415078,2,test,73,2.0,201,-62.270721435546875
1768415101,2,test,74,2.0,199,-62.11713409423828
1768415125,2,test,75,2.0,210,-62.253623962402344
1768415154,2,test,76,3.0,249,-62.39349365234375
1768415177,2,test,77,2.0,197,-62.18689727783203
1768415200,2,test,78,2.0,200,-61.99190139770508
1768415224,2,test,79,2.0,199,-62.37562942504883
1768415246,2,test,80,2.0,197,-62.051483154296875
1768415275,2,test,81,3.0,249,-62.04978942871094
1768415305,2,test,82,3.0,251,-61.93419647216797
1768415336,2,test,83,3.0,272,-62.268768310546875
1768415365,2,test,84,3.0,246,-62.48651885986328
1768415388,2,test,85,2.0,200,-62.06819534301758
1768415412,2,test,86,2.0,209,-62.04530334472656
1768415436,2,test,87,2.0,199,-62.0377311706543
1768415465,2,test,88,3.0,253,-62.231082916259766
1768415488,2,test,89,2.0,201,-61.957523345947266
1768415517,2,test,90,3.0,247,-61.93914031982422
1768415546,2,test,91,3.0,250,-62.42864990234375
1768415569,2,test,92,2.0,201,-62.09562301635742
1768415599,2,test,93,3.0,253,-62.35517120361328
1768415628,2,test,94,3.0,250,-62.234195709228516
1768415657,2,test,95,3.0,248,-62.18172836303711
1768415680,2,test,96,2.0,204,-62.022621154785156
1768415704,2,test,97,2.0,205,-62.16859817504883
1768415733,2,test,98,3.0,246,-62.33098602294922
1768415756,2,test,99,2.0,198,-62.13056945800781
1768415756,2,test_cycle_avg,-1,2.33,217,-62.18601184844971
1768415794,3,train,0,3.0,248,-62.36275100708008
1768415813,3,train,1,0.0,126,-63.078392028808594
1768415834,3,train,2,0.0,131,-63.17170715332031
1768415872,3,train,3,3.0,252,-63.22167205810547
1768415911,3,train,4,3.0,251,-62.27525329589844
1768415942,3,train,5,2.0,200,-62.27729415893555
1768415973,3,train,6,2.0,201,-62.63962173461914
1768416004,3,train,7,2.0,200,-62.82847595214844
1768416025,3,train,8,0.0,135,-62.70619583129883
1768416048,3,train,9,0.0,147,-62.598731994628906
1768416086,3,train,10,3.0,248,-63.437625885009766
1768416119,3,train,11,2.0,209,-63.607303619384766
1768416150,3,train,12,2.0,203,-62.631649017333984
1768416188,3,train,13,3.0,248,-62.430973052978516
1768416219,3,train,14,2.0,201,-62.437904357910156
1768416250,3,train,15,2.0,199,-61.3038330078125
1768416288,3,train,16,3.0,247,-61.68505096435547
1768416319,3,train,17,2.0,197,-62.173946380615234
1768416357,3,train,18,3.0,247,-63.30814743041992
1768416389,3,train,19,2.0,206,-62.943241119384766
1768416427,3,train,20,3.0,247,-62.89560317993164
1768416467,3,train,21,3.0,259,-63.46814727783203
1768416498,3,train,22,2.0,199,-61.06660842895508
1768416536,3,train,23,3.0,245,-62.128868103027344
1768416574,3,train,24,3.0,248,-62.23419189453125
1768416605,3,train,25,2.0,204,-62.247581481933594
1768416646,3,train,26,3.0,261,-62.32767105102539
1768416677,3,train,27,2.0,205,-62.708763122558594
1768416716,3,train,28,3.0,251,-62.57414245605469
1768416755,3,train,29,3.0,253,-63.80794143676758
1768416783,3,train,30,0.0,182,-64.65185546875
1768416815,3,train,31,2.0,208,-63.739845275878906
1768416853,3,train,32,3.0,247,-62.43240737915039
1768416891,3,train,33,3.0,246,-62.456214904785156
1768416923,3,train,34,2.0,206,-62.721092224121094
1768416954,3,train,35,2.0,197,-62.370445251464844
1768416974,3,train,36,0.0,129,-62.18772888183594
1768417012,3,train,37,3.0,246,-62.244075775146484
1768417032,3,train,38,0.0,131,-62.15510940551758
1768417064,3,train,39,2.0,206,-61.743011474609375
1768417095,3,train,40,2.0,201,-61.06488800048828
1768417127,3,train,41,2.0,207,-62.168609619140625
1768417147,3,train,42,0.0,131,-63.74380111694336
1768417185,3,train,43,3.0,250,-61.757198333740234
1768417224,3,train,44,3.0,247,-62.65911865234375
1768417255,3,train,45,2.0,203,-62.503990173339844
1768417289,3,train,46,2.0,225,-62.67121124267578
1768417328,3,train,47,3.0,247,-62.67420959472656
1768417359,3,train,48,2.0,204,-62.68088912963867
1768417383,3,train,49,0.0,156,-63.22140884399414
1768417418,3,train,50,2.0,225,-63.88003921508789
1768417438,3,train,51,0.0,130,-64.60739135742188
1768417469,3,train,52,2.0,204,-64.40741729736328
1768417509,3,train,53,3.0,254,-63.140323638916016
1768417541,3,train,54,2.0,208,-63.79045104980469
1768417572,3,train,55,2.0,200,-61.743282318115234
1768417610,3,train,56,3.0,247,-61.461830139160156
1768417641,3,train,57,2.0,202,-62.84078598022461
1768417681,3,train,58,3.0,255,-62.66733169555664
1768417713,3,train,59,2.0,208,-62.71354675292969
1768417751,3,train,60,3.0,245,-62.55417251586914
1768417782,3,train,61,2.0,202,-62.22914505004883
1768417813,3,train,62,2.0,204,-62.012474060058594
1768417852,3,train,63,3.0,248,-63.80880355834961
1768417872,3,train,64,0.0,134,-63.761627197265625
1768417895,3,train,65,0.0,146,-64.22925567626953
1768417916,3,train,66,0.0,133,-63.94447326660156
1768417947,3,train,67,2.0,202,-63.14365005493164
1768417979,3,train,68,2.0,206,-63.0888671875
1768418011,3,train,69,2.0,207,-63.52180099487305
1768418041,3,train,70,2.0,199,-62.48212432861328
1768418080,3,train,71,3.0,246,-62.10811996459961
1768418110,3,train,72,2.0,199,-62.630409240722656
1768418148,3,train,73,3.0,246,-62.35371017456055
1768418179,3,train,74,2.0,201,-62.55562973022461
